author,text,likes,date,sentiment,predicted_sentiment,sentiment_score
@kumrayatish,Om shanti ratan tata 🙏🏻,0,2024-10-17T14:27:39Z,Negative,positive,0.6026822924613953
@fatemabegum3366,safari king❤❤😮😮,0,2024-04-13T08:06:10Z,Negative,positive,0.8755181431770325
@wadddupppsachin48,ONE DAY ♥️,0,2023-01-11T11:19:43Z,Negative,positive,0.9374363422393799
@Hruaiteasiakeng31,My dream car😍! Thanks to Ratan Tata👍,0,2022-09-19T10:53:48Z,Positive,positive,0.9807454347610474
@growmind8057,tata is make safest cars,0,2022-08-01T09:08:18Z,Negative,neutral,0.5921449065208435
@singhashwani031,Only thing I don’t like with safari is the last window design and infotainment system else it would have been surely my 1st choice. Specially Dark,1,2022-08-01T03:17:22Z,Positive,negative,0.8274121284484863
@utkarshdwivedi6600,Safari is near perfect but lacks on few major stuff 1st & most important its dash it look like  10lac cars dash i have suggestions tata should take inspiration from either ford or vw & skoda their steering wheel look classy n modern forget them just see land rovers steering the infotainment love to see xuv like infotainment. N thud of gates i dont know why but it doesn't give same thud as superb or fortuner & last give it a new engine 190+ bhp petrol/ or hybrid with your 170bhp to reach ot 200bhp these will give safari a proper heavy weight why would somebuy a fortuner when you are getting a similar in styling but better internally. When a folk go for a safari over harrier he clearly going for proper premium make safari little expensive but make it more elegant make its engine more refine give it power to do drag these things are not practical but have a very big psycological impact.,0,2022-05-27T20:38:32Z,Positive,neutral,0.5407061576843262
@sanjibg1.1,Did not like the complete dark interior. Dark exterior with Kaziranga type seat/ interior would be a killer combination. Can Tata do that or give that option ? At least an option to have dark exterior with usual interiors.,1,2022-04-05T17:19:01Z,Negative,negative,0.46922340989112854
@pranavchaskar,It's not safari until  it gets at least basic AWD. Front wheel drive Cross over can't be Safari.,0,2022-02-23T10:03:11Z,Negative,neutral,0.5224215388298035
@Strum_And_Hum,Does this come in black?,0,2022-02-16T07:53:36Z,Negative,neutral,0.8808300495147705
@nidhin85,Who is going to look at this especially with the really poor infotainment system....its only looks nothing else which is a shame!,0,2022-02-16T06:06:36Z,Negative,negative,0.9346657991409302
@ajitpravin007,"Everything is good in Tata, except audio system screen size. Which is small compared to other car’s..",0,2022-02-15T12:07:03Z,Positive,positive,0.8686655759811401
@shailendrakumar-qi7do,cool,0,2022-02-13T22:34:54Z,Positive,positive,0.7715886235237122
