index,text,fear,anger,anticipation,trust,surprise,positive,negative,sadness,disgust,joy
1,safari king❤❤😮😮,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Only thing I don’t like with safari is the last window design and infotainment system else it would have been surely my 1st choice. Specially Dark,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0
6,Safari is near perfect but lacks on few major stuff 1st & most important its dash it look like  10lac cars dash i have suggestions tata should take inspiration from either ford or vw & skoda their steering wheel look classy n modern forget them just see land rovers steering the infotainment love to see xuv like infotainment. N thud of gates i dont know why but it doesn't give same thud as superb or fortuner & last give it a new engine 190+ bhp petrol/ or hybrid with your 170bhp to reach ot 200bhp these will give safari a proper heavy weight why would somebuy a fortuner when you are getting a similar in styling but better internally. When a folk go for a safari over harrier he clearly going for proper premium make safari little expensive but make it more elegant make its engine more refine give it power to do drag these things are not practical but have a very big psycological impact.,0.034482758620689655,0.0,0.10344827586206896,0.10344827586206896,0.034482758620689655,0.41379310344827586,0.06896551724137931,0.034482758620689655,0.034482758620689655,0.1724137931034483
8,It's not safari until  it gets at least basic AWD. Front wheel drive Cross over can't be Safari.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,any update on launch of safari petrol version ?,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
16,"Who are you? 
I am Harrier 
Son of velar and safari.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,I can see the safari ness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,"A lot of people are complaining about 360 degree camera and nicer infotainment, but only a fewer people know thats where Tata is earning money. 360 camera and better infotainment requires more semiconductor sensor chips and there has been a global shortage of it. Thats why XUV700 has waiting period of 15 months, where as Safari is available within 45 days. People who don’t wanna wait for 18 months are going for Safari and that’s where Tata is earning money. Thats called business.",0.08333333333333333,0.125,0.125,0.125,0.08333333333333333,0.16666666666666666,0.125,0.08333333333333333,0.0,0.08333333333333333
25,"NO 4WD NO AUTOMATIC BOOT... NO SPSCE FOR LUGGAGE - MARUTI XLR IS BETTER. VERY SAF TATA SAFARI JUST A BLACK SHINY EMPTY BOX.

ALL THAT GLITTERS IS NOT GOLD.

Rs 22 lakhs and no 4WD What a shame",0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0
26,Lol another Paint Job in an Extended Harrier & Potray as if its a brand new vehicle & Hike the price 🤣🤣,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"I have booked safari dark over over Xuv 700:
1) Superb road presence.  Can compete with fortuner,  though it is a segment above.
2) Interior feels plush (except for poor infotainment system) due to soft touch materials used.
3) Get a 7 seater. Because safari is proper 7 seater or atleast you can use it as 6 seater by tumbling one side of the last row seat to increase the boot capacity. 

Do not buy 6 seater in safari or other cars, because in this segment, the last row is not so wide like fortuner or endeavors. And ultimately, you will be forced to use this 6 seater as 4 seater car due to compromised last row. 

This is unacceptable, if you fathom that triber or ertiga is good 7 seater than these cars are.

In case of Hector or alacazar, it is a 4 seater (if you are going for 6 seater configuration), because last row is barely usable. 
4) All features except for adas, are present in safari too. Bad impression comes due to infotainment systems.
5) JBL is very good over Sony speakers. It may seem weird, but park xuv700 and safari and play same song, you'll understand what I am saying. Somehow the bass and treble is better in JBL. Sony was just being loud than JBL. Quality was compromised.",0.04878048780487805,0.0975609756097561,0.0975609756097561,0.0975609756097561,0.07317073170731707,0.21951219512195122,0.1951219512195122,0.07317073170731707,0.024390243902439025,0.07317073170731707
37,This colour makes safari true mafia car 😎,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.2
41,"Tata Safari need to match up to the equipment levels in the market from XUV700 , Alcazar and Carens",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
